id,system,traditional_term,namaste_code,tm2_code,aliases
80,AYURVEDA,bhrama,AYU-325,8C80,"giddiness | vertigo | dizziness"
81,AYURVEDA,mada,AYU-330,6C40,"intoxication | delirium"
82,AYURVEDA,moorchha,AYU-335,8E00,"fainting | syncope"
83,SIDDHA,pitha soolai,SID-125,ME82,"bilious colic | gastric pain"
84,SIDDHA,vali soolai,SID-130,ME83,"rheumatic pain | gas pain"
85,SIDDHA,kabha suram,SID-135,SP52,"phlegmatic fever | catarrhal fever"
86,SIDDHA,ottadai,SID-140,EA85,"allergic dermatitis | hives"
87,SIDDHA,sori,SID-145,EA81,"itch | pruritus | scabies"
88,SIDDHA,padarthamarai,SID-150,EA80,"psoriasis | scaly skin"
89,SIDDHA,megakkappu,SID-155,GB00,"venereal disorder | urinary infection"
90,SIDDHA,sarkarai noi,SID-160,5A10,"diabetes | madhumeha"
91,SIDDHA,neer kattu,SID-165,GB42,"urinary retention | ischuria"
92,SIDDHA,raktha pitha noi,SID-170,BD40,"bleeding tendency | hemorrhage"
93,SIDDHA,kandamai,SID-175,CA00,"throat infection | tonsillitis"
94,SIDDHA,moolavadi,SID-180,DB30,"hemorrhoids | piles"
95,SIDDHA,thalai vali,SID-185,8A80,"headache | migraine"
96,SIDDHA,mantha noi,SID-190,DD90,"indigestion | dyspepsia"
97,SIDDHA,valli noi,SID-195,FA00,"joint stiffness | arthritis"
98,UNANI,zat ul rimah,UNA-100,CA20,"acute respiratory infection"
99,UNANI,warm e tahal,UNA-105,DB92,"splenomegaly | spleen enlargement"
100,UNANI,warm e qalb,UNA-110,BC41,"myocarditis | heart inflammation"
101,UNANI,zoof e qalb,UNA-115,BC80,"cardiac weakness | heart failure"
102,UNANI,sauq e hayat,UNA-120,BA00,"vital exhaustion | fatigue"
103,UNANI,qoulanj,UNA-125,DD71,"colitis | colon spasm"
104,UNANI,yarqan e mufsid,UNA-130,DB90,"obstructive jaundice"
105,UNANI,iltehab e meda,UNA-135,DD80,"gastritis | stomach inflammation"
106,UNANI,iltehab e amaa,UNA-140,DA91,"enteritis | intestinal inflammation"
107,UNANI,khanasir,UNA-145,EA90,"gangrene | localized tissue necrosis"
108,UNANI,bavaseer dami,UNA-150,DB30,"bleeding piles | hemorrhagic hemorrhoids"
109,UNANI,bavaseer badi,UNA-155,DB31,"blind piles | flatulent piles"
110,UNANI,shshaqeeq,UNA-160,8A80,"migraine | hemicrania"
111,UNANI,duwar,UNA-165,8C80,"vertigo | dizziness"
112,UNANI,saraa,UNA-170,8A60,"epilepsy | falling sickness"
113,UNANI,sauq e nafs,UNA-175,CA22,"asthma | shortness of breath"
114,UNANI,khunaq,UNA-180,CA02,"diphtheria | severe sore throat"
115,UNANI,isqat e hamal,UNA-185,GA03,"miscarriage | abortion"
116,UNANI,kabir e jigar,UNA-190,DB91,"hepatomegaly | liver enlargement"
117,UNANI,sakhti e rugu,UNA-195,BB40,"arteriosclerosis | vessel hardening"
